12D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs,,Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs
110,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Nardecchia et al 2015,2015,Tower Puzzle,,,98.1400,13.040,14,-,,100.86000,8.800,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
111,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Palermo et al 2017/2018,2017,Tower Puzzle,,,20.6000,28.200,37,720,,2.90000,7.900,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
112,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Pilotto et al 2021,2021,Tower Puzzle,,,16.0000,3.200,19,890,,18.00000,1.570,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
113,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Griffiths 1995,1995,Matching figures,,,4.9000,1.520,10,348,,4.80000,1.550,10,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
114,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Trimarco et al 2020,2020,Animal sorting,,,10.0000,3.500,15,289,83,10.00000,1.750,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
115,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Trimarco et al 2020,2020,Clocks,,,5.0000,1.250,15,289,83,6.00000,1.250,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
116,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2005,Connecting dots,,,54.2100,5.100,14,491,149,56.38000,2.720,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2006,Elithorn’s Maze,,,9.5700,3.330,14,491,149,15.19000,2.370,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
118,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,accuracy,accuracy,9.9400,1.680,36,,,10.41000,1.200,69,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
119,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,speed,speed,328.5100,119.880,36,,,289.40000,61.200,69,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
120,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,,,7.8400,3.960,36,,,7.85000,2.820,69,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
121,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Bisiacchi et al 2018,2018,Tower Puzzle,,,10.3000,1.800,11,743,84,11.30000,1.000,28,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
122,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2004,Tower Puzzle,,,23.2100,5.220,14,491,149,29.07000,2.920,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
123,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2007,Weigl’s Sorting,,,10.1400,2.280,14,491,149,11.07000,1.250,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
124,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Combined Description Score,,,7.5300,2.200,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
125,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Confirmed correct sort,,,8.0700,2.090,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.
126,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Free Sorting Description,,,7.7300,2.340,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
127,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Sort Recognition Description,,,7.6000,1.720,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
128,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Tower Puzzle,,,8.8000,2.930,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
129,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,7.8000,1.800,18,NA,,8.70000,1.600,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
130,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,3.2000,0.400,18,NA,,3.00000,0.100,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
131,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,5.7000,1.200,18,NA,,5.40000,0.900,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
132,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,7.3000,1.900,18,NA,,6.80000,1.360,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
133,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,5.4000,1.320,18,,,5.07000,0.943,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
134,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,5911.9000,4383.000,18,NA,,6455.20000,5079.900,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
135,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,9535.7000,6772.700,18,NA,,8784.10000,6901.100,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
136,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,8895.0000,5755.900,18,NA,,12552.70000,13248.500,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
137,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,8114.2000,5721.610,18,,,9264.00000,9109.580,16,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
138,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Griffiths 1995,1995,Matching figures,,,7.2000,1.400,10,1014,216,8.80000,1.230,10,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
139,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Anderson et al 2002/2007,2008,Digital Distraction,,,3.5600,1.723,33,,,4.61000,1.749,34,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
140,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Pilotto et al 2021,2021, D2 Test,,,144.0000,65.680,19,890,,258.00000,27.510,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
141,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Weglage et al 2013,2013, D2 Test,,,99.1000,14.900,57,810,,103.60000,13.600,46,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
142,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Weglage et al 1995,1995, D2 Test,,,35.5000,26.600,20,583,377,58.50000,34.900,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
143,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Trimarco et al 2020,2020,Auditory Attention,,,5.0000,1.250,15,289,83,5.00000,0.750,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
144,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Duarte et al 2023,2023,Auditory attention (selective attention),,,29.3000,1.790,27,,,30.00000,0.600,28,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
145,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Anderson et al 2002/2007,2008,Code Transmission,,,35.2100,4.596,33,,,35.94000,4.665,34,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
146,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,56.0000,11.000,26,489,181,53.00000,8.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
147,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,51.0000,10.000,26,489,181,43.00000,9.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
148,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,56.0000,11.000,26,489,181,50.00000,11.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
149,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,60.0000,11.000,26,489,181,54.00000,12.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
150,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,53.0000,10.000,26,489,181,54.00000,12.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
151,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,53.0000,11.000,26,489,181,49.00000,9.000,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
152,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,53.5000,10.500,26,489,181,48.00000,8.500,21,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
153,Mixed-age,EF-Sustained attention,EF-Sustained attention,ES_large,Brunner and Berry 1987,1987,Continuous perfomance task,,,14.6000,13.840,22,1529,,7.16000,12.970,12,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
154,Mixed-age,EF-Inhibitory control,EF-Sustained attention,ES_large,Brunner and Berry 1987,1987,Continuous perfomance task,accuracy,accuracy,9.1000,11.080,22,1529,,7.67000,7.110,12,,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
155,Mixed-age,EF-Sustained attention,EF-Sustained attention,ES_large,Brunner and Berry 1987,1987,Continuous perfomance task,speed,speed,415.1800,107.710,22,1529,,354.31000,55.720,12,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
156,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Burgard et al 1997-German,1997,Dot pattern Task,,,8.7000,1.300,8,870,,7.50000,0.800,8,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
157,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Jahja et al 2016/2017,2017,Dot pattern Task,,,24.6000,14.700,57,655,,17.30000,10.300,57,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
158,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Jahja et al 2016/2017,2017,Dot pattern Task,,,9.3000,1.800,57,655,,8.70000,1.500,57,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
159,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Schmidt et al 1994,1994,Dot pattern Task,accuracy,accuracy,51.9000,8.700,19,1417,,39.90000,6.600,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
160,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Schmidt et al 1994,1994,Dot pattern Task,speed,speed,1010.0000,1318.000,19,1417,,729.00000,691.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
161,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Ullrich et al 1996,1996,Dot pattern Task,,,12.3000,4.530,8,1253,,8.70000,1.180,8,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
162,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Janos et al 2012,2012,Go-No-go,,,183.0000,77.000,42,546,331,145.00000,57.000,81,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
163,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Huijbregts et al 2002,2002,Number of dot identification task (yes/no),,,12.9000,2.110,30,494,291,11.16000,1.590,32,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
164,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Palermo et al 2017/2018,2017,Rapid Visual Processing-% err,,,18.9000,11.300,37,720,,13.30000,8.800,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
165,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Romani et al 2020,2020,Rapid Visual Processing-% err,,,24.2000,12.000,19,1042,,15.90000,9.600,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
166,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Muri et al 2022,2023,Sustained attention (TAP subtests),,,46.0000,9.000,30,741,IQR=358,52.00000,9.000,54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.
167,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Muri et al 2022,2023,Sustained attention (TAP subtests),,,28.5000,48.800,30,741,IQR=358,-9.40000,50.400,54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.
168,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Jahja et al 2014,2014,Sustained attention-dots,,,8.7000,8.400,21,590,248,4.40000,4.900,73,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
169,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Channon et al 2004,2004,Telephone Search-N tones/min,,,18.4600,4.880,20,859,,22.78000,5.490,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
170,Mixed-age,EF-Sustained attention,EF-Sustained attention,ES_large,Van Zutphen et al 2007,2007,Visual Scanning ,,,8.2700,3.890,15,660,337,10.00000,3.000,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
171,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2004,2004,Hayling Sentence Completion B-accuracy,,,0.5700,0.320,20,859,,0.75000,0.530,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
172,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2005,2005,Flanker task-INTERFERENCE,accuracy,accuracy,97.6500,3.410,25,759,,97.10000,2.860,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
173,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2005,2005,Flanker task-INTERFERENCE,speed,speed,0.4700,0.050,25,759,,0.44000,0.050,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
174,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,accuracy,accuracy,97.0500,2.280,25,1286,,97.22000,2.820,45,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
175,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,speed,speed,0.5200,0.080,25,1287,,0.46000,0.060,45,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
176,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2023,2023,Flanker ,,,40.0000,7.700,40,589,444,43.00000,9.600,32,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
177,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,De Felice et al 2018,2018,Block Cyclic Naming,speed,,85.9000,16.700,15,751,,75.70000,19.200,24,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
178,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,De Felice et al 2018,2018,Hayling Sentence Completion B-accuracy,accuracy,accuracy,2.4000,1.8,22,751,,1.20000,2.6,25,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
179,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,De Felice et al 2018,2018,Hayling Sentence Completion B-Time ,speed,speed,48.0000,37.1,22,751,,29.60000,17.0,25,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
180,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control,ES_large,De Felice et al 2018,2018,Hayling Sentence Completion A-Time ,speed,speed,24.9000,21.9,22,751,,16.00000,7.8,25,,.,1,1,1,1,1,1,1,1,1,1,1,1,1,.,1,1,1
181,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Luna at al 2023,2023,Stroop CW-INTERFERENCE,,,5.0100,10.800,20,586,420,11.28000,8.800,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
182,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Luna at al 2023,2023,Stroop CW-INTERFERENCE,,,43.1000,11.110,20,586,420,52.00000,11.890,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
183,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Moyle et al 2007,2007,Go-No-Go,accuracy,accuracy,33.3000,16.296,9,-,,19.20000,10.370,9,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
184,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Moyle et al 2007,2007,Go-No-Go,speed,speed,316.0000,35.556,9,1000,,284.00000,15.556,9,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
185,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 3 (inhibition?),speed,,10.0000,2.500,30,741,IQR=358,11.00000,3.800,54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.
186,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 3 (inhibition?),,,0.1000,13.700,30,741,IQR=358,-0.70000,11.500,54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.
187,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 4 (inhibition/switching),,,6.4000,10.200,30,741,IQR=358,-2.30000,11.800,54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.
188,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 4 (inhibition/switching),speed,,10.0000,2.000,30,741,IQR=358,12.00000,3.000,54,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.
189,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Continuous Naming-5th-1st pos,speed,speed,173.0000,94.600,37,720,,145.00000,62.900,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
190,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Continuous Naming-5th-1st pos,accuracy,accuracy,1.3000,2.000,37,720,,1.10000,1.600,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
191,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop DIFFERENCE-accuracy,,,0.5000,1.100,37,720,,0.80000,1.000,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
192,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop DIFFERENCE-speed,,,111.3000,86.700,37,720,,94.30000,51.900,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
193,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop-INTERFERENCE,accuracy,accuracy,0.6300,1.070,37,720,,0.80000,1.000,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
194,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop-INTERFERENCE,speed,speed,876.7300,206.050,37,720,,730.02000,130.330,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
195,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,accuracy,accuracy,2.0000,,9,1140,310,0.00000,,15,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
196,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,STROOP baseline,accuracy,accuracy,2.0000,,9,1140,310,0.00000,,15,,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.
197,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,speed,speed,167.6000,81.300,9,1140,310,157.20000,80.900,15,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
198,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,speed,speed,121.5000,64.000,9,1210,320,124.10000,98.600,15,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
199,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,STROOP baseline,accuracy,accuracy,0.0000,,9,1140,310,0.00000,,15,,.,1,1,1,1,1,1,1,1,1,.,.,1,1,1,.,.,1
200,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,STROOP baseline,speed,speed,877.9000,120.700,9,1140,310,889.00000,154.100,15,,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,STROOP baseline,speed,speed,863.3000,175.100,8,1210,320,838.10000,135.500,15,,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr2,2011,Stroop-INTERFERENCE,speed,,1045.0000,137.900,9,1210,320,1046.20000,213.900,15,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
203,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr2,2011,Stroop-INTERFERENCE,speed,,984.8000,210.400,9,1210,320,962.20000,194.200,15,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
204,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2020,2020,Go-No-Go,accuracy,accuracy,18.1000,13.400,16,926,,10.10000,6.500,17,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
205,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2020,2020,Go-No-Go,speed,speed,471.1000,44.975,16,926,,448.58000,72.660,17,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
206,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Weglage et al 1996/1999,1996,Stroop-INTERFERENCE,speed,speed,153.7000,45.900,20,1253,,114.40000,41.600,20,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
207,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,accuracy,accuracy,7.7700,5.700,36,,,3.52000,3.960,69,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
208,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,,,3.8400,3.000,36,,,2.66000,2.100,69,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
209,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,speed,speed,160.4000,44.400,36,,,133.41000,30.660,69,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
210,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Antshel & Waisbren 2003,2003,Stroop-INTERFERENCE,speed,,50.7000,8.300,46,490,375,52.00000,9.100,18,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
211,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Antisaccade task,accuracy,accuracy,12.1000,11.500,26,424,339,8.90000,7.600,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
212,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Antisaccade task,speed,speed,392.0000,77.000,26,424,339,353.00000,65.000,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
213,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Go-No-Go,accuracy,accuracy,31.7000,17.400,26,424,339,25.10000,14.400,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
214,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Go-No-Go,speed,speed,443.0000,67.000,26,424,339,439.00000,79.000,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
215,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Flanker task-INTERFERENCE,accuracy,accuracy,7.1000,8.900,26,424,339,8.90000,7.500,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
216,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Flanker task-INTERFERENCE,,,2.2000,3.200,26,424,339,1.60000,2.300,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
217,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Flanker task-INTERFERENCE,speed,speed,777.0000,219.000,26,424,339,736.00000,231.000,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
