12D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs,,Order,Age -group,Func_EF_flex_one,Function,ES_group,Study,Year ,Task,speed/acc (+ all speed tasks even if no matched with accuracy),speed/acc matched, x̅ ,SD,N  obs,Current Phe Mean,SD, x̅ ,SD,N  obs
26,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Channon et al 2005,2005,Object Alternation ,speed,speed,0.8800,0.300,25,759,,0.77000,0.420,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
27,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Channon et al 2007 off diet,2007,Object Alternation-Speed,,,0.9200,0.350,25,1286,,0.76000,0.400,45,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
28,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Christ et al 2023,2023,Oral Symbol Digit,speed,,52.0000,8.400,40,589,444,54.00000,5.200,32,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
29,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Pilotto et al 2021,2021,TMT–B,,,70.0000,25.630,19,890,,41.00000,11.000,25,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
30,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Romani et al 2020,2020,TMT–B,,,79.8000,34.000,19,1042,,54.40000,19.700,19,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Sundermann et al 2020,2020,TMT–B,,,60.4000,43.500,16,926,,53.25000,7.375,17,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
32,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Moyle et al 2007,2007,TMT-difference,,,40.0000,35.000,12,-,,31.00000,11.900,12,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
33,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Palermo et al 2017/2018,2017,TMT-difference,,,19.0000,10.800,37,720,,20.70000,13.300,30,,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
34,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Aitkenhead et al 2021,2021,WCST,,,-0.2600,1.000,152,908,,0.00000,1.000,76,,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
35,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Nardecchia et al 2015,2015,WCST,,,108.5000,17.820,14,-,,105.93000,9.730,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
36,Adults,EF-Flexibility,EF-Flexibility-other,ES_large,Nardecchia et al 2015,2015,WCST,,,5.5700,1.160,14,-,,6.00000,0.100,14,,.,.,.,.,.,.,.,.,.,.,.,.,.,#VALUE!,.,.,.,.
